,0,1,id,word
198,-1.7552289,0.18049158,1540,modèle
199,-3.2918105,2.9004104,1595,chasse
200,4.4153776,0.818195,179,train
201,1.1637036,0.5386152,968,publique
202,0.18680339,0.43957916,1732,donner
203,-0.32806137,-0.7527617,978,somme
204,1.2680227,2.1900914,130,consommateur
205,-1.0732409,3.5273764,1380,interdiction
206,0.07563035,0.7706688,6,ensemble
207,1.5130025,1.5209875,800,augmenter
208,0.9638901,2.1002877,470,inciter
209,-0.58228785,3.4828973,282,santé
210,4.1208854,0.8188498,183,petite
211,3.2714717,2.0654218,255,diesel
212,-0.96954364,-0.6039289,82,sera
213,3.9223504,2.3695848,107,gros
214,4.1275835,0.6537966,1104,voie
215,-0.3635986,0.126315,727,plutôt
216,0.11596777,0.60679775,510,domaine
217,1.0612427,2.134106,273,encourager
218,1.2514808,0.27895096,396,argent
219,0.66635615,1.5018744,319,payer
220,3.0497632,2.1526926,88,moteur
221,-2.0784369,0.7090706,1263,homme
222,0.9902554,4.2592616,893,recyclage
223,1.293092,0.8839909,1856,investissement
224,0.38808867,0.581872,642,peuvent
225,2.4638963,-1.2048882,28,10
226,0.45292625,2.503398,838,court
227,-0.1581656,-0.8891855,420,gouvernement
228,1.3897926,-1.3631916,745,année
229,0.2481717,0.90511906,734,européen
230,0.09294119,3.5238018,796,alimentaire
231,0.15417466,3.0116584,668,produire
232,0.8393015,2.110435,860,diminuer
233,2.25978,1.2897322,52,logement
234,-1.0893142,-0.8824801,1340,chose
235,1.5881054,0.4205703,1273,fonction
236,0.31285995,-3.1051872,916,rapport
237,3.3109813,1.9989951,141,automobile
238,-1.8352575,1.0124384,1359,cause
239,1.212949,3.2316675,100,obliger
240,-0.49082693,-0.85043234,1156,question
241,3.5806348,1.0651897,526,centre
242,-0.45469725,1.0857713,1917,simple
243,3.2304049,0.7805247,56,déplacement
244,1.6294119,2.7143807,1588,source
245,-0.5858528,3.6192677,1383,chimique
246,-0.06765807,-0.8931306,1493,bonne
247,-0.06118932,2.8091328,1053,qualité
248,-0.5921844,0.39431244,2481,chacun
249,-1.1029433,2.9923267,1833,culture
250,2.3456955,0.9746429,1127,cher
251,-2.1205032,0.08165592,64,croissance
252,-1.342371,-0.8230033,735,dire
253,-0.426934,0.122431666,223,passer
254,1.1132617,0.84659576,363,financer
255,3.690359,0.13788271,190,aller
256,-0.21731599,0.4893332,680,échelle
257,1.2673903,0.72661203,1976,public
258,-2.245731,2.4954333,2110,pratique
259,0.3276518,0.5294961,83,française
260,1.5402107,1.844967,755,investir
261,2.03604,1.0199157,1028,publics
262,-0.8138872,-0.5819025,571,tant
263,0.28623262,0.39431813,805,national
264,0.9128453,0.01935361,688,droit
265,0.36104253,1.5910174,334,norme
266,3.1530285,1.7976971,811,essence
267,1.6996973,1.4257404,1918,obligatoire
268,2.704648,2.4875994,1397,chauffage
269,0.5434506,0.32795614,1218,objectif
270,-1.8018799,-0.34315336,1404,avon
271,-1.6752595,0.06599027,18,mondiale
272,-1.2979493,0.38391784,463,profit
273,1.7377969,1.979976,1504,alternative
274,-0.04276578,-0.19348888,763,intérêt
275,0.9613665,3.219917,706,usage
276,-0.28520933,-0.83386564,1458,souvent
277,1.5359381,1.2786756,1643,création
278,1.8508637,2.6302052,262,fossile
279,-1.7022612,3.418718,876,construire
280,-2.10097,3.0454516,1638,sols
281,3.5227156,0.3188348,1506,région
282,0.26508948,2.7285624,665,local
283,0.87389475,-0.6334596,1906,loi
284,0.4052812,1.6470366,3564,contrôle
285,0.45582864,3.4889972,403,vente
286,-2.1892576,0.11698047,685,humain
287,1.484212,-1.3116833,954,après
288,-0.55234265,2.4445376,1984,industrielle
289,0.1466959,-0.8197722,1666,scientifique
290,0.3223779,1.5630174,790,marché
291,-2.1379259,2.566668,70,protection
292,-0.16427138,2.6963031,1544,consommer
293,1.7535757,0.40708467,523,impôt
294,-0.25207606,1.427665,276,durable
295,-1.874513,3.7382884,2999,cour
296,-0.63229734,0.40264082,885,enfin
297,-1.966995,1.1246023,678,humaine
298,1.094626,-1.1629411,1032,deux
299,-1.966603,1.2676345,693,conséquence
300,-2.098106,1.4201319,1058,risque
301,4.420096,0.6633213,756,ligne
302,-1.9097899,3.831184,2108,mer
303,1.6052793,0.8796846,2461,réduction
304,2.15201,1.2756062,464,obligation
305,-0.54674006,0.27744216,1108,priorité
306,-0.58202684,-1.6206973,888,pense
307,-0.5935655,0.3569013,804,trouver
308,0.9095765,2.3812027,857,fortement
309,-0.40895024,0.24460988,1960,prise
310,-0.10402126,-0.565506,2262,ailleur
311,2.7504091,2.3323696,343,hydrogène
312,-0.60539985,-0.69006866,2192,autant
313,2.903954,0.3626231,923,chez
314,0.12160886,0.31540328,1326,important
315,-0.051777177,-2.0633626,152,ai
316,1.4329977,1.2410972,466,proposer
317,0.95338,1.4537587,279,emplois
318,-0.41645655,0.36331323,314,effort
319,0.15711725,-0.23287772,2015,décision
320,2.6633594,-0.899296,874,100
321,-0.81018883,0.24759421,1899,agir
322,-1.7597501,3.254245,459,surface
323,-0.62572026,0.95875365,476,comportement
324,-0.46901625,0.3212259,89,reste
325,1.4292047,-1.3273466,580,plusieur
326,-0.19825673,0.312119,34,mondial
327,2.5394843,2.7316349,936,éolienne
328,2.3336,1.8863119,340,bâtiment
329,0.22271189,0.7366207,508,nationale
330,-0.08363643,0.117442705,764,puis
331,-0.29717946,-0.0830637,441,premier
332,-0.60097384,-0.10860646,970,choix
333,2.7848444,2.9106565,783,panneaux
334,-0.4019907,0.5392803,1122,long
335,1.6180006,3.0579402,1090,usine
336,-0.76546097,-0.42870376,1951,seul
337,-0.56800824,-0.49639913,859,cet
338,-0.51272964,-0.47799525,305,seule
339,2.2437136,2.9349475,894,batterie
340,2.001949,0.27729422,2106,charge
341,3.8122873,2.4204247,267,polluent
342,0.3790304,0.8142315,1301,environnementale
343,0.73185974,4.17167,456,inutile
344,-0.363892,-0.3433962,1297,climat
345,-2.1694853,2.554193,1785,laisser
346,0.379331,0.7027701,84,européenne
347,1.5953536,0.12615126,1886,condition
348,1.780977,-0.14653108,1926,selon
349,1.0024924,1.1282605,487,emploi
350,0.7416445,2.7863657,832,tva
351,0.86662555,0.4182968,359,financier
352,2.7733624,-1.263922,1211,50
353,4.6872206,1.4505255,355,poids
354,1.9250292,1.2918859,2474,voire
355,0.5367598,2.7009618,726,locaux
356,-0.8838477,1.3772855,2150,dès
357,0.4412731,-0.58214283,535,proposition
358,-0.15391271,0.46706924,751,efficace
359,-1.7920626,0.95761555,806,réchauffement
360,-2.3313313,1.9667786,2831,naturelle
361,-1.7780122,3.4863796,1531,lor
362,-0.76759833,1.5402658,1020,école
363,-1.5996399,0.59995174,45,vivre
364,0.49409077,1.6113621,712,principe
365,-1.9539512,2.8403401,1842,stopper
366,1.5830848,0.85399204,1016,collectivité
367,-0.6352592,-0.33064514,1485,seront
368,-0.7693524,3.669718,272,glyphosate
369,-1.376031,2.006847,415,lutter
370,1.5199966,1.1889448,737,permettrait
371,2.8323123,2.7766268,2643,maison
372,-1.330677,3.3617787,1351,élevage
373,-0.6168212,1.5137577,287,respect
374,0.6682166,2.5146265,837,circuit
375,1.7161204,1.0622419,1546,devraient
376,1.3909734,0.8571237,855,augmentation
377,-2.3471847,3.538801,1449,arbre
378,4.3181477,0.0438611,202,paris
379,0.3092361,0.47532615,851,ayant
380,-0.5878768,2.6523724,1216,exploitation
381,-0.8296437,2.8941936,911,revenir
382,1.662311,3.2241788,1973,existe
383,1.8868355,2.9128609,1687,pétrole
384,-0.3341472,4.0515685,454,viande
385,4.240541,-0.7110247,216,celui
386,-2.1658218,2.9735215,890,forêt
387,4.5687947,1.4417821,113,routier
388,1.4098681,0.7893967,616,pourraient
389,2.473464,2.1613154,1365,installation
390,2.3392804,-0.96588874,870,anné
391,-1.6181141,0.96228594,416,lié
392,1.7976283,1.3309585,2468,permettant
393,1.3312197,0.50063807,1332,financement
394,0.037947923,0.52985555,285,sociale
395,-0.104158655,1.531404,914,revoir
396,1.7709773,2.236754,1168,filière
397,1.9431295,2.1900735,1742,technologie
398,2.5345235,-0.7860263,582,euros
399,-0.3759994,1.6440405,889,gestion
400,1.3624631,-0.43186036,721,actuellement
401,2.7521517,2.280921,1095,thermique
402,2.4439645,2.7524502,2265,éolien
403,-1.0893996,0.2682008,1961,conscience
404,4.02115,0.50295466,1379,bus
405,3.914946,0.14824408,1348,heure
406,0.6983608,0.59271955,1084,technique
407,2.5514715,-1.0414691,379,20
408,2.2952433,1.8968347,826,isolation
409,0.8179002,0.870604,274,forme
410,3.3377287,0.93022114,1190,urbain
411,3.2610548,0.3480298,23,habitant
412,-1.3883864,3.5905585,1815,vert
413,1.3228078,0.7788786,1843,privé
414,-0.007875647,3.3372288,725,producteur
415,3.5337994,1.1451795,1419,réseau
416,0.98101884,-1.1645433,1185,nombreux
417,-0.05339234,1.7948941,1070,verte
418,-0.34237027,0.5749366,482,première
419,0.44312876,1.5739833,1810,importante
420,0.6587316,1.38932,2263,base
421,0.503797,1.4664265,1302,forte
422,4.211774,1.0690762,336,arrêt
