,0,1,id,word,degree
237,0.38752085,3.0096471,235,ressource,1237
238,-2.0810566,-2.3148232,180,européen,1264
239,-0.71439195,-2.404843,1713,territoire,1059
240,-1.289314,1.8458272,1811,va,852
241,-0.9750943,2.0040374,267,reste,1012
242,-0.102018856,2.8649507,1133,normal,1398
243,-2.2754073,1.3104923,914,principe,1034
244,-1.1034166,1.5112439,1601,chose,991
245,-1.6940979,1.1702045,594,année,872
246,-0.55417323,3.0369003,799,taxé,1388
247,1.7138722,1.1155643,317,capital,1675
248,0.9878091,0.026826736,2102,emplois,1014
249,1.5462954,0.53367805,87,nouvelle,1271
250,1.4268887,0.49055168,462,création,1122
251,0.39037144,3.1129978,2871,seule,1109
252,-1.6150186,-1.2543749,1632,règle,1012
253,1.0488331,-0.0014270055,1128,pme,1530
254,0.9594335,3.3373318,1656,seuil,1472
255,0.05458558,-0.43043634,142,action,958
256,0.117534615,2.9360769,1129,même,1135
257,0.61496615,3.3608959,796,supplémentaire,1742
258,1.9087332,-1.0739802,220,privé,927
259,-1.2744287,-1.8854234,38,gafa,1739
260,0.9352116,3.3428354,1124,partir,1265
261,3.9913146,-0.8271841,428,consommation,1101
262,-0.73614216,2.2307472,907,population,1212
263,1.1358721,2.9773805,61,progressif,2539
264,-0.021043781,3.3581426,329,chômage,1030
265,-2.3255696,2.017101,1490,ai,977
266,-0.81327647,0.32085833,1292,plutôt,868
267,-1.3635302,-0.5154688,537,loi,789
268,4.2458105,0.06713477,1023,type,911
269,1.4906287,1.6250921,1175,remettre,1760
270,-1.092201,3.354091,21,vivre,1184
271,1.5272466,0.6700438,1067,intérêt,904
272,2.1414437,-1.1553278,305,santé,1038
273,2.6467173,0.062437464,1662,commune,1040
274,-2.059305,-0.22250442,107,mise,938
275,1.0291078,3.219261,762,minimum,1495
276,0.35339513,2.5242825,1446,davantage,1489
277,2.3206797,-0.67120844,360,financer,939
278,-1.1549379,3.2366369,2331,travailler,977
279,-1.8475646,-1.9366704,1999,paradis,1468
280,-1.737228,1.9642648,124,aucune,1004
281,-0.40544313,1.1219435,1031,nécessaire,922
282,-0.5272043,-1.8477923,37,groupe,1089
283,0.26696622,2.924699,1718,actuellement,1013
284,-1.735629,1.7690705,159,jamais,791
285,-1.5888734,1.5954393,970,aucun,906
286,1.0683479,-2.5433064,1363,président,1098
287,1.6357007,0.6950144,1147,crédit,1136
288,0.63693565,2.997677,1187,calcul,1292
289,0.18359628,2.1315694,645,permettrait,975
290,-0.5521044,1.4001867,798,enfin,726
291,0.7463228,-0.39573908,1014,banque,773
292,2.3444557,-1.1085498,919,jour,724
293,0.6227476,0.93284386,269,permettre,972
294,-0.17532182,0.6705702,1436,terme,819
295,-1.5761855,2.0725427,617,lui,730
296,1.3641872,-0.4039243,2837,limiter,1242
297,-0.34374085,1.1722975,1474,injustice,877
298,-0.416521,2.658418,1586,contribuer,1825
299,3.7637575,-1.2876939,1497,grosse,1291
300,1.4527177,0.8052791,1283,condition,877
301,1.3398334,0.78422236,337,sociaux,948
302,1.0958765,3.3563628,1819,jusqu,1148
303,-2.1837575,0.98175216,581,était,715
304,-2.20232,2.0617762,777,suis,930
305,0.8449478,-0.0017949275,326,plusieur,809
306,-0.26863962,2.5048864,1468,solidarité,974
307,2.4887908,2.4995027,2234,prime,1016
308,1.0294831,0.010686967,863,dividende,1322
309,0.65301526,2.6953056,488,ménage,1131
310,-2.1342483,-2.2370005,103,européenne,942
311,-0.31348342,-1.6902833,1557,actionnaire,1133
312,-2.0665562,0.84643525,1297,proposition,701
313,0.48335308,2.176747,1267,étant,691
314,-1.436142,1.8160323,1519,problème,749
315,-1.4032179,0.85171413,608,question,783
316,1.096443,2.8712497,1670,progressivité,1666
317,0.5088696,-0.72468036,1006,paiement,999
318,1.3229004,-0.9741506,379,administration,686
319,3.144401,-0.7132689,751,écologique,950
320,0.5716644,1.5170127,1684,recette,833
321,-0.39502403,1.899419,759,important,950
322,0.07880099,2.7237341,1189,dès,1610
323,-1.081163,-0.5191153,1193,possibilité,890
324,0.97645843,-1.1727124,507,finance,725
325,-1.1126711,1.3350958,679,semble,790
326,0.7525674,2.530003,1571,prestation,1103
327,-1.0119307,1.7105588,1347,voire,748
328,-0.06198301,-0.6479585,41,transaction,1231
329,2.0609035,-1.1923585,553,sécurité,742
330,0.36390665,2.091397,783,aurait,720
331,3.6648343,-0.86506265,1445,fortement,1052
332,-1.3356624,2.9511745,602,million,966
333,-1.1965493,2.4012165,1475,aisé,1204
334,1.8227979,-0.8795953,409,national,883
335,-2.2243345,1.9811819,1689,pense,935
336,-1.2062162,1.366111,1203,tant,662
337,1.1643264,1.1496598,735,titre,733
338,1.0294908,0.49766096,333,favoriser,800
339,-0.82140154,1.4384861,2851,inégalité,863
340,3.6659567,-0.60803384,1335,seraient,609
341,1.8556317,-0.13872862,420,locale,819
342,0.7486993,2.2960413,149,ceci,604
343,0.48510528,0.6891387,1101,résultat,669
344,-0.5601565,1.7201556,881,redistribution,866
345,-0.313273,-0.07647555,568,cour,717
346,0.1338198,2.7510734,727,imposé,1108
347,0.1368295,3.745626,1184,pension,1111
348,-0.04326976,2.5024896,909,permet,659
349,-1.7766509,0.90944695,961,bonne,681
350,-2.0416327,-1.462566,1508,lutte,1173
351,4.301405,0.20118707,92,voiture,903
352,1.0415453,0.040570583,2347,cice,1106
353,-2.300001,1.4900551,137,égalité,1113
354,2.5768983,1.0523694,630,lor,586
355,1.0003456,3.056417,2241,appliquer,940
356,0.91562164,3.1139295,1205,smic,1146
357,3.4954982,-1.4245964,302,transport,780
358,-0.7766357,-1.9505641,82,affaire,983
359,0.5224766,2.072739,2145,réellement,888
360,1.7752453,0.62507844,279,forme,682
361,1.7318876,0.09398151,571,financement,770
362,-1.1174102,2.8092146,2550,travailleur,731
363,-0.38460273,-1.7875575,1049,profit,762
364,2.8239148,0.9812483,128,résidence,1095
365,-0.61039805,0.8760112,1691,solution,624
366,-0.16091305,0.6360309,1412,objectif,616
367,-2.699899,1.0621921,1442,m,613
368,1.3573809,1.1923234,222,sauf,727
369,0.13097724,2.7156897,991,sorte,1005
370,1.5474265,0.95762193,1645,exonération,931
371,-0.40641853,2.6296744,1216,participer,1476
372,1.187106,-2.1312397,231,rémunération,740
373,0.46519655,2.980728,15,modeste,1218
374,2.8600972,1.3912505,345,foncière,1066
375,0.2727636,-0.24805233,1416,marché,523
376,-0.719281,-2.0214388,84,chiffre,928
377,0.39473602,2.1083488,1173,retour,819
378,-1.4598023,1.2612627,1357,raison,615
379,1.1574066,3.0049815,1012,maximum,888
380,-0.25719473,0.606467,1392,efficacité,700
